date,value,my,year
03/13/2006,2.44,03/2006,2006
03/20/2006,2.586,03/2006,2006
03/27/2006,2.57,03/2006,2006
04/03/2006,2.656,04/2006,2006
04/10/2006,2.756,04/2006,2006
04/17/2006,2.853,04/2006,2006
04/24/2006,2.972,04/2006,2006
05/01/2006,2.961,05/2006,2006
05/08/2006,2.926,05/2006,2006
05/15/2006,2.956,05/2006,2006
05/22/2006,2.889,05/2006,2006
05/29/2006,2.871,05/2006,2006
06/05/2006,2.898,06/2006,2006
06/12/2006,2.921,06/2006,2006
06/19/2006,2.884,06/2006,2006
06/26/2006,2.885,06/2006,2006
07/03/2006,2.961,07/2006,2006
07/10/2006,2.997,07/2006,2006
07/17/2006,3.016,07/2006,2006
07/24/2006,3.043,07/2006,2006
07/31/2006,3.046,07/2006,2006
08/07/2006,3.091,08/2006,2006
08/14/2006,3.047,08/2006,2006
08/21/2006,2.968,08/2006,2006
08/28/2006,2.891,08/2006,2006
09/04/2006,2.777,09/2006,2006
09/11/2006,2.669,09/2006,2006
09/18/2006,2.545,09/2006,2006
09/25/2006,2.425,09/2006,2006
10/02/2006,2.362,10/2006,2006
10/09/2006,2.316,10/2006,2006
10/16/2006,2.291,10/2006,2006
10/23/2006,2.278,10/2006,2006
10/30/2006,2.294,10/2006,2006
11/06/2006,2.281,11/2006,2006
11/13/2006,2.308,11/2006,2006
11/20/2006,2.31,11/2006,2006
11/27/2006,2.314,11/2006,2006
12/04/2006,2.368,12/2006,2006
12/11/2006,2.362,12/2006,2006
12/18/2006,2.382,12/2006,2006
12/25/2006,2.396,12/2006,2006
01/01/2007,2.392,01/2007,2007
01/08/2007,2.357,01/2007,2007
01/15/2007,2.279,01/2007,2007
01/22/2007,2.213,01/2007,2007
01/29/2007,2.217,01/2007,2007
02/05/2007,2.244,02/2007,2007
02/12/2007,2.292,02/2007,2007
02/19/2007,2.339,02/2007,2007
02/26/2007,2.426,02/2007,2007
03/05/2007,2.549,03/2007,2007
03/12/2007,2.589,03/2007,2007
03/19/2007,2.605,03/2007,2007
03/26/2007,2.628,03/2007,2007
04/02/2007,2.725,04/2007,2007
04/09/2007,2.838,04/2007,2007
04/16/2007,2.916,04/2007,2007
04/23/2007,2.908,04/2007,2007
04/30/2007,3.016,04/2007,2007
05/07/2007,3.089,05/2007,2007
05/14/2007,3.146,05/2007,2007
05/21/2007,3.286,05/2007,2007
05/28/2007,3.274,05/2007,2007
06/04/2007,3.218,06/2007,2007
06/11/2007,3.138,06/2007,2007
06/18/2007,3.068,06/2007,2007
06/25/2007,3.046,06/2007,2007
07/02/2007,3.025,07/2007,2007
07/09/2007,3.048,07/2007,2007
07/16/2007,3.125,07/2007,2007
07/23/2007,3.026,07/2007,2007
07/30/2007,2.944,07/2007,2007
08/06/2007,2.912,08/2007,2007
08/13/2007,2.845,08/2007,2007
08/20/2007,2.867,08/2007,2007
08/27/2007,2.843,08/2007,2007
09/03/2007,2.897,09/2007,2007
09/10/2007,2.918,09/2007,2007
09/17/2007,2.882,09/2007,2007
09/24/2007,2.906,09/2007,2007
10/01/2007,2.887,10/2007,2007
10/08/2007,2.863,10/2007,2007
10/15/2007,2.846,10/2007,2007
10/22/2007,2.904,10/2007,2007
10/29/2007,2.955,10/2007,2007
11/05/2007,3.097,11/2007,2007
11/12/2007,3.195,11/2007,2007
11/19/2007,3.17,11/2007,2007
11/26/2007,3.168,11/2007,2007
12/03/2007,3.131,12/2007,2007
12/10/2007,3.065,12/2007,2007
12/17/2007,3.066,12/2007,2007
12/24/2007,3.047,12/2007,2007
12/31/2007,3.129,12/2007,2007
01/07/2008,3.187,01/2008,2008
01/14/2008,3.147,01/2008,2008
01/21/2008,3.097,01/2008,2008
01/28/2008,3.063,01/2008,2008
02/04/2008,3.069,02/2008,2008
02/11/2008,3.049,02/2008,2008
02/18/2008,3.136,02/2008,2008
02/25/2008,3.218,02/2008,2008
03/03/2008,3.239,03/2008,2008
03/10/2008,3.294,03/2008,2008
03/17/2008,3.359,03/2008,2008
03/24/2008,3.33,03/2008,2008
03/31/2008,3.361,03/2008,2008
04/07/2008,3.396,04/2008,2008
04/14/2008,3.45,04/2008,2008
04/21/2008,3.569,04/2008,2008
04/28/2008,3.668,04/2008,2008
05/05/2008,3.673,05/2008,2008
05/12/2008,3.791,05/2008,2008
05/19/2008,3.86,05/2008,2008
05/26/2008,4.011,05/2008,2008
06/02/2008,4.032,06/2008,2008
06/09/2008,4.077,06/2008,2008
06/16/2008,4.105,06/2008,2008
06/23/2008,4.101,06/2008,2008
06/30/2008,4.121,06/2008,2008
07/07/2008,4.148,07/2008,2008
07/14/2008,4.153,07/2008,2008
07/21/2008,4.109,07/2008,2008
07/28/2008,4.005,07/2008,2008
08/04/2008,3.937,08/2008,2008
08/11/2008,3.868,08/2008,2008
08/18/2008,3.805,08/2008,2008
08/25/2008,3.758,08/2008,2008
09/01/2008,3.769,09/2008,2008
09/08/2008,3.742,09/2008,2008
09/15/2008,3.973,09/2008,2008
09/22/2008,3.847,09/2008,2008
09/29/2008,3.756,09/2008,2008
10/06/2008,3.609,10/2008,2008
10/13/2008,3.235,10/2008,2008
10/20/2008,2.968,10/2008,2008
10/27/2008,2.707,10/2008,2008
11/03/2008,2.457,11/2008,2008
11/10/2008,2.285,11/2008,2008
11/17/2008,2.144,11/2008,2008
11/24/2008,1.972,11/2008,2008
12/01/2008,1.906,12/2008,2008
12/08/2008,1.797,12/2008,2008
12/15/2008,1.758,12/2008,2008
