my,year,value_x,value_y,crisis,exch_usd
02/2012,2012,102.29969999999997,3.63925,0,1.5506
02/2012,2012,102.29969999999997,3.63925,0,1.796000944
02/2012,2012,102.29969999999997,3.63925,1,0.633046989
02/2012,2012,102.29969999999997,3.63925,0,1.6251
02/2012,2012,102.29969999999997,3.63925,0,19.399
02/2012,2012,102.29969999999997,3.63925,0,4.29465
02/2012,2012,102.29969999999997,3.63925,0,5.1466133
02/2012,2012,102.29969999999997,3.63925,0,361.9
02/2013,2013,95.38526315789473,3.7347499999999996,0,78.1487013
02/2013,2013,95.38526315789473,3.7347499999999996,0,97.56
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.517
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.128
02/2013,2013,95.38526315789473,3.7347499999999996,0,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.91
02/2013,2013,95.38526315789473,3.7347499999999996,0,2.3538
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.062
02/2013,2013,95.38526315789473,3.7347499999999996,0,475.6413603
02/2013,2013,95.38526315789473,3.7347499999999996,0,525.3
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.0537
02/2013,2013,95.38526315789473,3.7347499999999996,0,1929
02/2013,2013,95.38526315789473,3.7347499999999996,0,500.635
02/2013,2013,95.38526315789473,3.7347499999999996,0,0
02/2013,2013,95.38526315789473,3.7347499999999996,1,5.4127
02/2013,2013,95.38526315789473,3.7347499999999996,0,42.85
02/2013,2013,95.38526315789473,3.7347499999999996,0,25000
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.94
02/2013,2013,95.38526315789473,3.7347499999999996,0,8.7475
02/2013,2013,95.38526315789473,3.7347499999999996,0,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.7274
02/2013,2013,95.38526315789473,3.7347499999999996,0,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,2.2
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,7.85
02/2013,2013,95.38526315789473,3.7347499999999996,0,20.6
02/2013,2013,95.38526315789473,3.7347499999999996,1,216.1902597
02/2013,2013,95.38526315789473,3.7347499999999996,1,115.55
02/2013,2013,95.38526315789473,3.7347499999999996,0,61.897
02/2013,2013,95.38526315789473,3.7347499999999996,0,12189
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,105.3
02/2013,2013,95.38526315789473,3.7347499999999996,0,86.31
02/2013,2013,95.38526315789473,3.7347499999999996,0,1055.4
02/2013,2013,95.38526315789473,3.7347499999999996,0,3.294006494
02/2013,2013,95.38526315789473,3.7347499999999996,0,30.12512987
02/2013,2013,95.38526315789473,3.7347499999999996,0,13.0765
02/2013,2013,95.38526315789473,3.7347499999999996,0,8.15
02/2013,2013,95.38526315789473,3.7347499999999996,0,988
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.22488961
02/2013,2013,95.38526315789473,3.7347499999999996,0,25.33
02/2013,2013,95.38526315789473,3.7347499999999996,1,155.2
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.08
02/2013,2013,95.38526315789473,3.7347499999999996,0,1
02/2013,2013,95.38526315789473,3.7347499999999996,0,4524
02/2013,2013,95.38526315789473,3.7347499999999996,0,2.79
02/2013,2013,95.38526315789473,3.7347499999999996,0,44.56428571
02/2013,2013,95.38526315789473,3.7347499999999996,0,3.012
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,1,32.7292
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.2653
02/2013,2013,95.38526315789473,3.7347499999999996,0,10.48985
